15465	18454	
6343	4940	
400	3147	
17980	13032	
18811	15972	
10641	18027	
17857	12619	
4057	6733	
17226	7945	
19016	4223	
15370	7420	
10738	19176	
8091	9351	
18716	15627	
6806	739	
14817	5092	
13933	4596	
14787	19474	
16072	13718	
812	16431	
4922	15126	
13151	8921	
16767	4445	
11744	5589	
2228	13863	
2749	8234	
1171	9778	
19512	10760	
3274	18674	
3314	15660	
15159	14657	
6965	19291	
13730	11540	
13597	2731	
3959	15720	
19141	17153	
1438	18523	
6890	8693	
19865	1944	
16414	9811	
12345	16298	
10091	1882	
19998	1393	
4033	8231	
3721	13267	
19678	4300	
15519	17193	
14265	13817	
3868	1946	
6027	18108	
2353	8454	
11291	16869	
3805	6328	
17797	7330	
16867	7678	
1734	4778	
14381	16181	
15590	17077	
15357	7230	
13666	19816	
3820	8941	
7797	10799	
1505	17536	
1730	6018	
17967	3404	
7585	18154	
10379	9074	
16995	2205	
10313	1905	
2020	19908	
13138	7318	
12589	6558	
17604	16814	
3106	8318	
12486	4316	
814	7984	
19206	11013	
169	3609	
3026	5096	
15940	5627	
17679	13644	
17	663	
1529	6706	
16369	19757	
5463	9226	
1915	16447	
5146	18433	
19302	1397	
10290	18551	
17300	17721	
5645	3215	
3547	4066	
6221	2559	
240	12110	
14949	12455	
8530	13288	
6672	14751	
1105	5257	
18093	17673	
15225	14714	
14555	16358	
2431	5688	
5037	15877	
12390	624	
4779	16917	
10766	362	
13445	1531	
12634	4579	
5524	11423	
13885	8018	
18638	5921	
19745	9068	
7941	19817	
12083	1314	
13982	14620	
9230	9512	
8073	19690	
5922	273	
8994	10148	
11937	3638	
13250	16908	
3494	2965	
11714	5861	
12002	14838	
13454	3337	
6724	745	
12514	16216	
1604	5483	
612	8334	
2509	3560	
7485	5678	
8869	7866	
13781	6938	
12762	17871	
3882	5861	
13034	72	
12141	5055	
5135	6430	
14521	14703	
10885	3456	
17680	1216	
1658	17719	
19252	2066	
4785	10506	
16543	17809	
16530	2653	
2432	11299	
7025	16948	
16723	762	
4026	10742	
19323	489	
5718	1805	
6206	4980	
2301	1705	
16253	2656	
2232	18596	
5999	14089	
18577	4320	
14713	10386	
16186	15085	
9132	18711	
2006	14375	
17530	3839	
14536	16827	
3286	4941	
19158	7722	
18184	5110	
153	1447	
6762	12717	
7044	2330	
99	12857	
9167	2407	
12125	6792	
16191	6888	
18916	317	
18067	3351	
14621	9156	
17389	168	
18560	2919	
9307	9939	
4116	18457	
6530	2895	
5190	5295	
8070	17018	
14982	2575	
1048	6549	
286	10592	
1213	10860	
3823	10241	
3318	6164	
6985	18325	
1777	44	
5607	3868	
6988	11686	
4293	958	
13409	3103	
10144	1056	
12626	5610	
10312	7768	
14994	12171	
13956	12893	
6542	12574	
18018	17976	
470	15416	
7897	6935	
12172	13926	
11197	15392	
6696	754	
4350	12067	
6565	4932	
6078	18824	
3724	2404	
5709	3207	
11419	4605	
6627	18038	
10481	17181	
16761	445	
18457	17882	
11172	17093	
3088	2799	
12111	18927	
17588	1827	
19347	6082	
17164	11946	
15574	9500	
13806	18405	
10334	15433	
14225	2501	
3856	2129	
5071	15245	
6602	16492	
10902	12789	
10457	12977	
6828	2603	
3095	12332	
6909	3892	
9508	3725	
10947	9776	
18816	9821	
6640	12059	
15299	6700	
9114	2607	
16473	11110	
9923	14087	
9533	2084	
3076	2623	
145	1950	
16726	12919	
3383	17694	
11389	4246	
19760	10224	
16306	2507	
3182	5365	
